county,state,population_2019,Elec2020
Autauga,Alabama,55869,Trump
Baldwin,Alabama,223234,Trump
Barbour,Alabama,24686,Trump
Bibb,Alabama,22394,Trump
Blount,Alabama,57826,Trump
Bullock,Alabama,10101,Biden
Butler,Alabama,19448,Trump
Calhoun,Alabama,113605,Trump
Chambers,Alabama,33254,Trump
Cherokee,Alabama,26196,Trump
Chilton,Alabama,44428,Trump
Choctaw,Alabama,12589,Trump
Clarke,Alabama,23622,Trump
Clay,Alabama,13235,Trump
Cleburne,Alabama,14910,Trump
Coffee,Alabama,52342,Trump
Colbert,Alabama,55241,Trump
Conecuh,Alabama,12067,Trump
Coosa,Alabama,10663,Trump
Covington,Alabama,37049,Trump
Crenshaw,Alabama,13772,Trump
Cullman,Alabama,83768,Trump
Dale,Alabama,49172,Trump
Dallas,Alabama,37196,Biden
DeKalb,Alabama,71513,Trump
Elmore,Alabama,81209,Trump
Escambia,Alabama,36633,Trump
Etowah,Alabama,102268,Trump
Fayette,Alabama,16302,Trump
Franklin,Alabama,31362,Trump
Geneva,Alabama,26271,Trump
Greene,Alabama,8111,Biden
Hale,Alabama,14651,Biden
Henry,Alabama,17205,Trump
Houston,Alabama,105882,Trump
Jackson,Alabama,51626,Trump
Jefferson,Alabama,658573,Biden
Lamar,Alabama,13805,Trump
Lauderdale,Alabama,92729,Trump
Lawrence,Alabama,32924,Trump
Lee,Alabama,164542,Trump
Limestone,Alabama,98915,Trump
Lowndes,Alabama,9726,Biden
Macon,Alabama,18068,Biden
Madison,Alabama,372909,Trump
Marengo,Alabama,18863,Biden
Marion,Alabama,29709,Trump
Marshall,Alabama,96774,Trump
Mobile,Alabama,413210,Trump
Monroe,Alabama,20733,Trump
Montgomery,Alabama,226486,Biden
Morgan,Alabama,119679,Trump
Perry,Alabama,8923,Biden
Pickens,Alabama,19930,Trump
Pike,Alabama,33114,Trump
Randolph,Alabama,22722,Trump
Russell,Alabama,57961,Biden
St. Clair,Alabama,89512,Trump
Shelby,Alabama,217702,Trump
Sumter,Alabama,12427,Biden
Talladega,Alabama,79978,Trump
Tallapoosa,Alabama,40367,Trump
Tuscaloosa,Alabama,209355,Trump
Walker,Alabama,63521,Trump
Washington,Alabama,16326,Trump
Wilcox,Alabama,10373,Biden
Winston,Alabama,23629,Trump
Aleutians East Borough[d],Alaska,3337,Trump
Aleutians West Census Area[e],Alaska,5634,Trump
"Anchorage, Municipality of[d][f] ",Alaska,288000,Trump
Bethel Census Area[e],Alaska,18386,Trump
Bristol Bay Borough[d],Alaska,836,Trump
Chugach Census Area[e],Alaska,6734,Trump
Copper River Census Area[e],Alaska,2764,Trump
Denali Borough[d],Alaska,2097,Trump
Dillingham Census Area[e],Alaska,4916,Trump
Fairbanks North Star Borough[d],Alaska,96849,Trump
Haines Borough[d],Alaska,2530,Trump
Hoonah–Angoon Census Area[e],Alaska,2148,Trump
"Juneau, City and Borough of[d][g] ",Alaska,31974,Trump
Kenai Peninsula Borough[d],Alaska,58708,Trump
Ketchikan Gateway Borough[d],Alaska,13901,Trump
Kodiak Island Borough[d],Alaska,12998,Trump
Kusilvak Census Area[e],Alaska,8314,Trump
Lake and Peninsula Borough[d],Alaska,1592,Trump
Matanuska-Susitna Borough[d],Alaska,108317,Trump
Nome Census Area[e],Alaska,10004,Trump
North Slope Borough[d],Alaska,9832,Trump
Northwest Arctic Borough[d],Alaska,7621,Trump
Petersburg Borough[d][h],Alaska,3266,Trump
Prince of Wales – Hyder Census Area[e],Alaska,6203,Trump
"Sitka, City and Borough of[d][i] ",Alaska,8493,Trump
"Skagway, Municipality of[d] ",Alaska,1183,Trump
Southeast Fairbanks Census Area[e],Alaska,6893,Trump
"Wrangell, City and Borough of[d] ",Alaska,2502,Trump
"Yakutat, City and Borough of[d][j] ",Alaska,579,Trump
Yukon–Koyukuk Census Area[e],Alaska,5230,Trump
Eastern District[12],American Samoa,23030,
Manu'a District[12],American Samoa,1143,
Rose Atoll (Rose Island)[12],American Samoa,0,
Swains Island[12],American Samoa,17,
Western District[12],American Samoa,31329,
Apache,Arizona,71887,Biden
Cochise,Arizona,125922,Trump
Coconino,Arizona,143476,Biden
Gila,Arizona,54018,Trump
Graham,Arizona,38837,Trump
Greenlee,Arizona,9498,Trump
La Paz,Arizona,21108,Trump
Maricopa,Arizona,4485414,Biden
Mohave,Arizona,212181,Trump
Navajo,Arizona,110924,Trump
Pima,Arizona,1047279,Biden
Pinal,Arizona,462789,Trump
Santa Cruz,Arizona,46498,Biden
Yavapai,Arizona,235099,Trump
Yuma,Arizona,213787,Trump
Arkansas,Arkansas,17486,Trump
Ashley,Arkansas,19657,Trump
Baxter,Arkansas,41932,Trump
Benton,Arkansas,279141,Trump
Boone,Arkansas,37432,Trump
Bradley,Arkansas,10763,Trump
Calhoun,Arkansas,5189,Trump
Carroll,Arkansas,28380,Trump
Chicot,Arkansas,10118,Biden
Clark,Arkansas,22320,Trump
Clay,Arkansas,14551,Trump
Cleburne,Arkansas,24919,Trump
Cleveland,Arkansas,7956,Trump
Columbia,Arkansas,23457,Trump
Conway,Arkansas,20846,Trump
Craighead,Arkansas,110332,Trump
Crawford,Arkansas,63257,Trump
Crittenden,Arkansas,47955,Biden
Cross,Arkansas,16419,Trump
Dallas,Arkansas,7009,Trump
Desha,Arkansas,11361,Biden
Drew,Arkansas,18219,Trump
Faulkner,Arkansas,126007,Trump
Franklin,Arkansas,17715,Trump
Fulton,Arkansas,12477,Trump
Garland,Arkansas,99386,Trump
Grant,Arkansas,18265,Trump
Greene,Arkansas,45325,Trump
Hempstead,Arkansas,21532,Trump
Hot Spring,Arkansas,33771,Trump
Howard,Arkansas,13202,Trump
Independence,Arkansas,37825,Trump
Izard,Arkansas,13629,Trump
Jackson,Arkansas,16719,Trump
Jefferson,Arkansas,66824,Biden
Johnson,Arkansas,26578,Trump
Lafayette,Arkansas,6624,Trump
Lawrence,Arkansas,16406,Trump
Lee,Arkansas,8857,Biden
Lincoln,Arkansas,13024,Trump
Little River,Arkansas,12259,Trump
Logan,Arkansas,21466,Trump
Lonoke,Arkansas,73309,Trump
Madison,Arkansas,16576,Trump
Marion,Arkansas,16694,Trump
Miller,Arkansas,43257,Trump
Mississippi,Arkansas,40651,Trump
Monroe,Arkansas,6701,Trump
Montgomery,Arkansas,8986,Trump
Nevada,Arkansas,8252,Trump
Newton,Arkansas,7753,Trump
Ouachita,Arkansas,23382,Trump
Perry,Arkansas,10455,Trump
Phillips,Arkansas,17782,Biden
Pike,Arkansas,10718,Trump
Poinsett,Arkansas,23528,Trump
Polk,Arkansas,19964,Trump
Pope,Arkansas,64072,Trump
Prairie,Arkansas,8062,Trump
Pulaski,Arkansas,391911,Biden
Randolph,Arkansas,17958,Trump
St. Francis,Arkansas,24994,Biden
Saline,Arkansas,122437,Trump
Scott,Arkansas,10281,Trump
Searcy,Arkansas,7881,Trump
Sebastian,Arkansas,127827,Trump
Sevier,Arkansas,17007,Trump
Sharp,Arkansas,17442,Trump
Stone,Arkansas,12506,Trump
Union,Arkansas,38682,Trump
Van Buren,Arkansas,16545,Trump
Washington,Arkansas,239187,Trump
White,Arkansas,78753,Trump
Woodruff,Arkansas,6320,Trump
Yell,Arkansas,21341,Trump
Alameda,California,1671329,Biden
Alpine,California,1129,Biden
Amador,California,39752,Trump
Butte,California,219186,Biden
Calaveras,California,45905,Trump
Colusa,California,21547,Trump
Contra Costa,California,1153526,Biden
Del Norte,California,27812,Trump
El Dorado,California,192843,Trump
Fresno,California,999101,Biden
Glenn,California,28393,Trump
Humboldt,California,135558,Biden
Imperial,California,181215,Biden
Inyo,California,18039,Biden
Kern,California,900202,Trump
Kings,California,152940,Trump
Lake,California,64386,Biden
Lassen,California,30573,Trump
Los Angeles,California,10039107,Biden
Madera,California,157327,Trump
Marin,California,258826,Biden
Mariposa,California,17203,Trump
Mendocino,California,86749,Biden
Merced,California,277680,Biden
Modoc,California,8841,Trump
Mono,California,14444,Biden
Monterey,California,434061,Biden
Napa,California,137744,Biden
Nevada,California,99755,Biden
Orange,California,3175692,Biden
Placer,California,398329,Trump
Plumas,California,18807,Trump
Riverside,California,2470546,Biden
Sacramento,California,1552058,Biden
San Benito,California,62808,Biden
San Bernardino,California,2180085,Biden
San Diego,California,3338330,Biden
"San Francisco, City and County of[k] ",California,881549,Biden
San Joaquin,California,762148,Biden
San Luis Obispo,California,283111,Biden
San Mateo,California,766573,Biden
Santa Barbara,California,446499,Biden
Santa Clara,California,1927852,Biden
Santa Cruz,California,273213,Biden
Shasta,California,180080,Trump
Sierra,California,3005,Trump
Siskiyou,California,43539,Trump
Solano,California,447643,Biden
Sonoma,California,494336,Biden
Stanislaus,California,550660,Biden
Sutter,California,96971,Trump
Tehama,California,65084,Trump
Trinity,California,12285,Trump
Tulare,California,466195,Trump
Tuolumne,California,54478,Trump
Ventura,California,846006,Biden
Yolo,California,220500,Biden
Yuba,California,78668,Trump
Adams,Colorado,517421,Biden
Alamosa,Colorado,16233,Trump
Arapahoe,Colorado,656590,Biden
Archuleta,Colorado,14029,Trump
Baca,Colorado,3581,Trump
Bent,Colorado,5577,Trump
Boulder,Colorado,326196,Biden
"Broomfield, City and County of[l] ",Colorado,70465,Biden
Chaffee,Colorado,20356,Biden
Cheyenne,Colorado,1831,Trump
Clear Creek,Colorado,9700,Biden
Conejos,Colorado,8205,Trump
Costilla,Colorado,3887,Biden
Crowley,Colorado,6061,Trump
Custer,Colorado,5068,Trump
Delta,Colorado,31162,Trump
"Denver, City and County of[m] ",Colorado,727211,Biden
Dolores,Colorado,2055,Trump
Douglas,Colorado,351154,Trump
Eagle,Colorado,55127,Biden
Elbert,Colorado,26729,Biden
El Paso,Colorado,720403,Trump
Fremont,Colorado,47839,Trump
Garfield,Colorado,60061,Trump
Gilpin,Colorado,6243,Biden
Grand,Colorado,15734,Trump
Gunnison,Colorado,17462,Biden
Hinsdale,Colorado,820,Trump
Huerfano,Colorado,6897,Trump
Jackson,Colorado,1392,Trump
Jefferson,Colorado,582881,Biden
Kiowa,Colorado,1406,Trump
Kit Carson,Colorado,7097,Trump
Lake,Colorado,8127,Biden
La Plata,Colorado,56221,Biden
Larimer,Colorado,356899,Biden
Las Animas,Colorado,14506,Trump
Lincoln,Colorado,5701,Trump
Logan,Colorado,22409,Trump
Mesa,Colorado,154210,Trump
Mineral,Colorado,769,Trump
Moffat,Colorado,13283,Trump
Montezuma,Colorado,26183,Trump
Montrose,Colorado,42758,Trump
Morgan,Colorado,29068,Trump
Otero,Colorado,18278,Trump
Ouray,Colorado,4952,Biden
Park,Colorado,18845,Trump
Phillips,Colorado,4265,Trump
Pitkin,Colorado,17767,Biden
Prowers,Colorado,12172,Trump
