,node,cluster,location,description,followers,name,created_at,likes,statuses_count
0,sdinny14,0,Kerala  India,Indian Army Veteran▪︎Believes in Nation FIRST...Always▪︎Strategic studies student▪︎Teacher▪︎Social activist▪︎ Sports  Movies & Animal lover▪︎,3729,Colonel S Dinny (Retd),06-Nov-2011 (15:33:51.000000),10283,1465
1,erinstreeterNAM,0,Washington  DC,The power of communications is good strategy. SVP Communications at the National Association of Manufacturers (NAM). Views are my own.,857,Erin Streeter,24-Jul-2009 (13:38:42.000000),1724,1091
2,vinylcook,0,Canada,None,53,Steven Rennick,19-May-2016 (16:02:18.000000),11394,8528
3,ShirtStru,0,OnYourT-Shirts,I design T-Shirts and alike on TeePublic,3,StruSHIRT,10-Feb-2020 (00:15:43.000000),194,9500
4,brose2288,1,None,South West of East Beuchel KY Valley Station #MakeAmericaGreatAgain #KeepAmericaGreat,3623,BAR❌⭐️⭐️⭐️,13-Jul-2013 (22:13:19.000000),93885,77213
5,nicholaskamau,0,None,None,577,mwandokamau,25-Dec-2009 (04:03:40.000000),24228,10741
6,CarlStucker,1,None,None,479,Carl Stucker,06-Apr-2014 (21:17:29.000000),149017,113162
7,MvezoKaramchand,0,Berlin,Die Gute Macht im Sinne von Ghandi und Mandela.,251,Mvezo Karamchand,23-Jul-2020 (07:31:54.000000),4394,3174
8,screenwrites,0,Planet earth,Write and read great stories  news  art  music  eco stuff and live on an ever improving kinder  happier  more equal and more environmentally kind planet.,82,Screenwrites,20-Oct-2011 (19:41:15.000000),135,1607
9,taeretro,1,London | 22y/o,#BTSVT: I’m so fine wherever I go ✨ she/her,1098,BE⨟LLA \⁷,29-Mar-2020 (20:07:23.000000),4425,15243
10,pnwkate,1,Vancouver  British Columbia,Please support my venture Wild Vancouver @pacificnwk protecting wildlife  birds & nature - IG FB Youtube - pacificnorthwestkate 🇿🇼 🇳🇿🇨🇦,4993,Pacificnorthwestkate,09-Aug-2016 (15:46:41.000000),112010,19986
11,BelfastHourNI,0,Belfast  Northern Ireland ,#Belfasthour is a hashtag set up to help businesses from all over NI promote each other & connect. Every Thursday on Twitter 9pm - 10pm hosted by @Edwardsandco_,25199,#BelfastHour,09-Jun-2014 (14:52:58.000000),29648,163056
12,GovCanHealth,0,Canada,HC and PHAC - #COVID19 updates - Promoting and protecting Canadians' health and safety - Français: @GouvCanSante - Notice: http://ow.ly/nBL030kFDH6,344991,Health Canada and PHAC,29-Apr-2009 (14:53:41.000000),140,17266
13,Wab1William,0,Northern Ireland,Pure motorcycle road race fan for 55 years.,1645,William Boyd,29-Jun-2015 (12:35:30.000000),236614,131971
14,MJ4DARBDAgency,0,Edmonton  Alberta,France is under attack  Armenia is under attack  Christianity is under attack  Freedom of speech is under attack. And they accuse us of Islamophobia. Good lord!,29,M.J.,23-Oct-2015 (17:23:13.000000),2466,8923
15,MrRaulJenkins,0,Birmingham  AL,#RESIST #DemCastAL #OneV1#DemCast #DemVoice1 One man wolfpack. Frequent typos. No MAGA  no Q  no Fighting. Everybody love everybody. (Except MAGA & Q). #Z29,26338,Raul Jenkins,23-Aug-2017 (03:38:55.000000),131685,91116
16,Mau92142,0,canada,𝑀𝒶𝓊|➊➑ | 𝐏𝐎𝐂 𝐁𝐢𝐬𝐞𝐱𝐮𝐚𝐥| 🌈  𝘤𝘳𝘦𝘢𝘵𝘪𝘷𝘦 𝘸𝘳𝘪𝘵𝘦𝘳 🦋 𝘖𝘵𝘢𝘬𝘶 ❤ ℌ𝔲𝔪𝔟𝔢𝔯 𝔍𝔬𝔲𝔯𝔫𝔞𝔩𝔦𝔰𝔪 𝔰𝔱𝔲𝔡𝔢𝔫𝔱 🇨🇦,16,Mau,14-Oct-2016 (20:38:41.000000),1673,83
17,KimPKAG2020,1,USA,🇺🇸VoteRed~Trump2020~Senate~House🚨Most Consequential Election of Our Lifetime👍🏻Military🙏🏻Veterans❤️WeThePeople💄WomenForTrump😘LeadRight🇺🇸ArmyForTrump,62532,🇺🇸KimP#KAG2020🎃(Text Trump to 88022)💋,04-Mar-2011 (20:24:29.000000),106425,229165
18,champlainlhin,0,Eastern Ontario ,Ontario Crown Agency that plans  funds and coordinates health services in the Champlain region. En français @rlisschamplain,2680,Champlain LHIN,08-Mar-2011 (16:46:43.000000),1691,10397
19,HumanRightsCat,1,Vancouver  British Columbia,Pursue human rights & justice thru Edu. Be critical  rational  logical & sensible. Lies are evil. I block liars. Debates should follow Robert's Rules of Order.,386,HumanRightsCat,29-Sep-2019 (02:11:45.000000),25839,7027
20,D3ANAgency,0,Strathcona County  Alberta,France is under attack  Armenia is under attack  Christianity is under attack  Freedom of speech is under attack. And they accuse us of Islamophobia. CoUrVa!!!!,35,Definitly Awkward Sometimes Awesome Always Amæzing,22-Nov-2014 (18:25:53.000000),1564,27674
21,4DARBDA,0,SAiNt PeTeRsViLlE,France is under attack  Armenia is under attack  Christianity is under attack  Freedom of speech is under attack. And they accuse us of Islamophobia. CoUrVa!!!!,7,Definitely “A” Re-Born Dad Agency,07-Jun-2013 (03:20:20.000000),969,7111
22,ericcoliu,0,Canada,Author of Following the Moon to the Maple Land (First Prize Winner  2011 Haiku Pix Chapbook Contest). Chen-ou Liu's haiku and tanka have won 129 awards,3761,Chen-ou Liu,21-Jul-2009 (20:57:47.000000),737,93566
23,311laura,0,Ottawa  Canada,Trying to leave this place better than when I got here. Sharing #music #theatre #musicals #food #Ottawa #intldev #ngo #activism #AtleticOttawa #soccer,3645,Laura,19-Jan-2009 (23:56:27.000000),40947,40705
24,OlgaPena,0,Ottawa 🇨🇦 - Chicoral 🇨🇴,Mom |She/Her| #SepsisNerd working in #BioSecurity🦠 #SciPol🇨🇦 #ScienceDiplomacy🌍| Bridging the World through Science Collaborations |#EDI Advocate |MyViews,3658,Olga Pena Ph.D. 🔬🦠🇨🇦🇨🇴,04-Jan-2010 (21:01:20.000000),13062,9894
25,LashDripp,1,New Orleans  LA,💕$50 Lash Sets💕Sun & Mon-Closed,17,Lash Dripp,03-Jul-2020 (07:16:34.000000),105,1107
26,curtwaldrip,1,Liberty  TX,Author  Army vet  teacher  physicist. Not a Star Fleet officer. Constitution lover  #Oathkeeper   Liberty Cowboy Channel on YouTube. @CaptainCurt93 on Parlor,8372,Liberty Cowboy (CPT Curt),27-Mar-2012 (19:21:36.000000),33177,34624
27,isea_safety,0,Arlington  VA,ISEA is the leading association for safety equipment and technologies. ANSI accredited standards developer. #MakeWorkSafer #PPE,1112,ISEA,02-Feb-2015 (19:22:12.000000),360,1031
28,iche_me,0,North Carolina  USA,#StrongerTogether #UnitedUnstoppable Mother of Pride 🌈 Theater Department Costume Coordinator 🎭 #ReSister #GeeksResist https://twitter.com/iche_me,12309,Iche_me!,06-Jan-2015 (14:13:18.000000),119949,82117
29,zen4ever2us,0,California  USA,Nomadic traveler|Water is life. 🌊 #Resist 🌊 #EveryVoice 💙#NoLivesCanMatterUntilBlackLivesReallyMatter 💙 #LGTBQ+Ally 🏳️‍🌈 #BeKindToAnimals (❌DM),18612,Liz (Lizzy 김혜성) 💫,31-Jul-2017 (21:02:36.000000),205767,171021
30,nat_jones04,0,None,Digital Marketing | SEO Communications Specialist,84,Jones Nat,19-Jun-2020 (06:00:50.000000),0,506
31,environmentca,0,Canada,Safeguarding Canada's Environment. Suivez-nous en français @environnementca  Terms: http://ow.ly/i3s430gbkBz,407680,Environment Canada,06-Jan-2010 (18:54:30.000000),1278,18279
32,ElizabethAlver6,0,None,Beat Trump. That's it. Oh love animals  husband  my children and granddaughter. Nothing special .. just have to beat Trump is why I'm doing this.,2393,Elizabeth Alverson,17-Mar-2017 (20:15:53.000000),799,53360
33,heyogguk,1,18. she|her ෆ,-ˋˏI’d rather die than live without passionˎˊ- ⇢˚⋆fan account for #방탄소년단 ♡,964,ᴮᴱmar⁷ | asrd📌,11-Aug-2014 (23:51:31.000000),17454,13683
34,Harir_Minaei,0,None,“Children must be taught HOW to think  not WHAT to think” (⛔️DM) In Love with #NeuroScience#WomenInScience#BlackLivesMatter #RESIST #FBR #Music #Art #Artist,33883,Harir Minaei,04-Aug-2019 (11:33:13.000000),11923,5058
35,J00Nl,1,SHE!HER ∵∴ ✩  Hey you 教えて何を求めて,None,310,✭ ReYy ִֶָ !?,05-May-2018 (13:39:49.000000),1013,11342
36,UVMLarnerMed,0,Burlington  VT,The 7th oldest U.S. medical school  the Larner College of Medicine @uvmvermont has a longstanding rep for educating & training superb physicians & scientists.,3059,UVM Larner Med,20-Mar-2013 (18:57:43.000000),9410,8579
