,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
9301,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
20051,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
30801,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
41551,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
52301,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
63051,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
73801,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
84551,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
95301,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
6793,2020-11-02 16:21:58,6nsinvt,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323299318959398917,0,0,0,0,1.3232912756137574e+18
