,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
0,8,121262,2020-11-02 15:40:36,4thcornergal,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323288909699145728,0,0,0,0,1.3232710584562565e+18
1,25,123505,2020-11-02 16:28:42,6nsinvt,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323301014548697091,0,0,0,0,1.323287997564027e+18
2,26,123550,2020-11-02 16:29:23,6nsinvt,False,True,You’re lying again. #biden photo from a year ago??,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323301189144948736,0,0,0,0,
3,35,120546,2020-11-02 15:23:29,73SNAngel,True,True,"RT @joelockhart: since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323284602610425856,0,0,0,0,1.3232723554147082e+18
4,44,121378,2020-11-02 15:42:32,86GOPFascism,True,True,"RT @joelockhart: since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323289398549581824,0,0,0,0,1.3232723554147082e+18
5,53,120327,2020-11-02 15:17:44,86_45_2020_ok,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323283154191454211,0,0,0,0,1.3232710584562565e+18
6,62,116167,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
7,71,115747,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
8,80,117339,2020-11-02 16:23:58,ALBERTOSEVERIN7,True,True,RT @marklevinshow: Biden wears a mask outside but not on a plane. Fraud. https://t.co/Ifj44claPP,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323299823282434053,0,0,0,0,1.3230554212429537e+18
9,89,112960,2020-11-02 15:27:26,ANI,False,False,"Karnataka Govt's Technical Advisory Committee clarifies that a person driving alone in a 4-wheeler with window glasses closed does not need to wear a mask. Whereas, a person driving a 2-wheeler alone without a pillion rider needs to wear a mask: Bruhat Bengaluru Mahanagara Palike",,,,,,1323285598602342405,0,0,0,0,
