,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
0,8,95301,2020-11-02 15:45:31,4thcornergal,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290148574908418,0,0,0,0,1.3232869408971284e+18
1,17,92793,2020-11-02 16:21:58,6nsinvt,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323299318959398917,0,0,0,0,1.3232912756137574e+18
2,26,95842,2020-11-02 15:59:53,73SNAngel,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323293762475429889,0,0,0,0,1.3232917607605617e+18
3,35,86554,2020-11-02 15:08:08,86GOPFascism,True,False,RT @tedlieu: Dear @realDonaldTrump: Where is the vaccine?  https://t.co/tciCRvc0JK,,,,,tedlieu;realDonaldTrump,1323280738314293251,0,0,0,0,1.3230333873139466e+18
4,44,90096,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
5,53,96075,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
6,62,90571,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
7,71,93600,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
8,88,86508,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
9,89,92658,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
10,98,90926,2020-11-02 16:04:27,AParisDeco,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323294913841242112,0,0,0,0,1.3232912756137574e+18
11,115,90121,2020-11-02 15:59:00,AcctbleHealth,False,True,Truth! some simple steps to reduce the risk . #Covid19 #florida #coronavirus #hcldr #populationhealth #weara mask,"5/ Ventilation reduces more. Filtration reduces more. Distancing reduces more. Less time indoors with others reduces more. It is well within our ability to reduce dose by a factor of 10 to 20 with SIMPLE layered dose reduction, &amp; to dramatically lower risk. Let's just do it!",,,Covid19;florida;coronavirus;hcldr;populationhealth;weara,,1323293540248555522,0,0,0,0,
12,116,94643,2020-11-02 15:00:03,AcctbleHealth,False,True,Wow…  The United States has 4 percent of the world’s population—and 20 percent of the SARS-CoV-2 infections and 22 percent of the deaths.  #Florida #COVID19 #Coronavirus #PopHealth #hcldr @UCBerkeleySPH @UCBerkeley,"Vaccines for the #coronavirus are in the works, masks and social distancing may be here to stay. @UCBerkeleySPH expert John Swartzberg talks about what's to come this winter. #hcldr #pophealth #COVID19 #Coronavirus https://t.co/XTSd2DTQQN",,,,,1323278703988793345,0,0,0,0,
13,125,89429,2020-11-02 15:54:52,AdamWickham8,False,False,"@DavidNathanaelx @blkMYmorris @ChrisEvans He was wrong. But that doesn't mean that he was lying. There's a huge difference.  It's called a novel"" coronavirus for a reason. They were still learning about it.  You're also ignoring where he said that things could change and people might have to start wearing them.""",,,,,DavidNathanaelx;blkMYmorris;ChrisEvans,1323292503081144320,0,0,0,0,
14,134,93703,2020-11-02 16:32:11,AddsEvery,False,False,"@realDonaldTrump Stanford releases study estimating COVID-19 cases related to President Trump’s campaign rallies"" https://t.co/iRubYPwgtE  #COVID19 #coronavirus SURGES AT #Trump RALLIES I BEG you #MAGA folks what good is a #MAGA2020LandslideVictory  If you All Suffer long term #COVID19 DAMAGE?👤""",,,,,,1323301894211731456,0,0,0,0,
15,151,95932,2020-11-02 16:02:20,AdeResists,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323294379835052032,0,0,0,0,1.3232869408971284e+18
16,152,95934,2020-11-02 16:02:25,AdeResists,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323294399015604225,0,0,0,0,1.3232917607605617e+18
17,161,88663,2020-11-02 15:51:33,Africanfighter,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291668137783296,0,0,0,0,1.3232912756137574e+18
18,170,87827,2020-11-02 15:39:23,Afsanehbaf,False,False,"@Malpani_Ankit @ConciousVegan Let’s hope so and still the same people refusing to wear a mask, won’t wanna take the vaccine, so it’s gonna take longer to get everyone onboard...",,,,,Malpani_Ankit;ConciousVegan,1323288603133415424,0,0,0,0,
19,179,92119,2020-11-02 16:15:22,AirMedToday,False,False,The ‘dose’ of coronavirus a person gets may determine how sick they get; masks could help - CNN https://t.co/fTjWnemeIR,,,,,,1323297659034230784,0,0,0,0,
20,188,87476,2020-11-02 15:30:22,AlexLadino,False,True,#WWG1WGA #COVID19 #lockdown2uk #coronavirus #QArmy @DanScavino,"Wait, is this @ChrisCuomo not wearing a mask while getting a haircut in NYC near 80th &amp; Broadway?!  Would be a shame if everyone saw his hypocrisy https://t.co/xURkPk0Q8t",,,WWG1WGA;COVID19;lockdown2uk;coronavirus;QArmy,,1323286336888098816,0,0,0,0,
21,197,90598,2020-11-02 16:02:07,AliAdair22,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323294326605127685,0,0,0,0,1.3232912756137574e+18
22,222,93934,2020-11-02 16:35:24,All435Reps,True,False,"RT @USRepKCastor: NEW: @COVIDOversight released a report on investigations into the Trump Admin’s failed coronavirus pandemic response, cal…",,,,,USRepKCastor;COVIDOversight,1323302701434810372,0,0,0,0,1.323302679188263e+18
23,223,95069,2020-11-02 15:32:52,All435Reps,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323286963076608000,0,0,0,0,1.3232869408971284e+18
24,224,95666,2020-11-02 15:55:30,All435Reps,True,True,RT @HoulahanForPa: What has been clear from the beginning of Joe Biden's campaign is an unwavering commitment to the American people and ad…,This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323292661130928129,0,0,0,0,1.323292638527787e+18
25,233,89260,2020-11-02 15:54:03,AllanVoorhis,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292296880836614,0,0,0,0,1.3232912756137574e+18
26,242,95139,2020-11-02 15:36:20,AllisC4,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323287835403800577,0,0,0,0,1.3232869408971284e+18
27,251,94507,2020-11-02 16:42:23,AlstonCeleste,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323304457476755458,0,0,0,0,1.3232912756137574e+18
