node,cluster,x,y
0Blair0,2,1.924101949,-11.33483219
0CT0BERSURPRISE,1,13.66480732,-8.49902916
0Gf1lCKkKy0ucqy,4,11.13097858,-17.86239815
0Selna0,0,11.64623165,15.92599964
0_0_Sa,0,5.356010914,1.278061032
0bama_gate,0,2.682263613,3.442189455
0ct100,4,3.560351133,-17.48715782
0dinesh_,1,17.66896629,-1.240934849
0drat,0,-2.769726992,9.273430824
0hhiSarah,0,4.19651413,2.967655182
0ilHand,0,1.296403766,1.517458439
0liver_03,4,-1.929202199,-18.14875031
00mropinionated,0,3.583489656,3.403113127
0noora8,4,11.10528469,-17.27897835
0ptimiste,0,3.796240807,2.392488956
0raetlabora1,0,1.259461045,3.966754198
0ryuge,2,-3.515986919,-9.166448593
000stand,0,1.213230014,5.153469086
0x6e6473,0,1.619663596,4.321712971
0xdemosthenes,1,12.8586092,-8.344820023
0z_ozz,0,1.60599184,4.011926651
1AmericanGirl,0,3.366731405,3.051107883
1AmericanWoman,1,18.64517975,0.789325953
1BUniverse,2,-3.771216631,-12.42914104
1BrendanOKeeffe,0,3.111327648,0.946679533
1Chance2020,1,13.31290627,-8.915053368
1Corvid,0,1.556707144,6.703789234
1CrypticPoet,0,10.44774055,6.865066051
1D_syndrome_,3,-8.508107185,0.449149281
1Enebi,0,1.949880362,4.734083176
1Esperluette,3,-10.05897713,13.54318237
1FT_45,1,18.65201759,-2.72379303
1Firstfruit,0,2.464216709,1.065893531
1GaryBernstein,2,-4.06983614,-4.774569035
1GoldenBuckeye,0,7.251998901,1.100856423
1Horla,4,11.59805584,-17.56927681
1JuGlox,0,3.764869452,3.181840897
1KingandI,2,-1.864892721,-14.70449924
1LadyHawk12,1,13.29183865,-8.871166229
1MGV1,1,21.47700119,-0.412877321
1M_SAMMI,4,11.12458706,-17.41976547
1MagaPatriot,2,-1.860413432,-14.71245003
1Mauricewood,1,13.07178593,-7.536606312
1NationUndGd,0,2.496444225,4.299323082
1NickMill,0,4.921477795,4.042025566
1OfflineApp,1,23.17448235,5.570893764
1SDGooner,0,3.561930656,3.663614273
1SG_Rich,0,10.23283577,11.14383984
1StrangeTicket,2,-6.24135685,-14.4593544
1Tenants,4,3.643977165,-19.60004997
1Thunder_Struck,4,5.026775837,-14.29107666
1Truthkeeper,0,1.566900611,1.58925283
1UnderGod,2,-3.151926994,-6.673442364
1Vortia_,3,-8.731231689,7.525370121
1Wineo2,3,-3.588819027,7.101407051
1_BuckarooLisa,1,13.18494415,-7.960853577
1_InsanePenguin,0,4.377495766,4.812103748
1_OldGeezer1950,1,12.83603573,-7.751300812
1_version_2_go,0,4.679171562,4.085876465
1artniece2,2,-3.561794043,-9.204379082
1asmaab,0,2.376380682,6.498954773
1blantdaddy,1,20.16737938,-8.060022354
1bonniesher,0,4.665246487,-5.488440037
1byatch,1,12.64392567,-8.000015259
1catherinesiena,0,6.851552486,4.266628742
1cd9cbf0e5b24f8,1,12.33781815,-7.590837479
1celtic163,2,-1.884213686,-14.68963146
1citizenpundit,0,2.428818703,2.339632988
1coolcatman,1,18.64178276,0.795601428
1daysooner,0,1.960873961,3.692253828
1diislife,1,13.33736515,-8.546361923
1dil__,4,11.01168537,-17.69204521
1dilemazibuko,4,11.10890007,-17.67402077
1doodlelopez,0,4.56786871,4.723645687
1f8PVxouToaU0R9,0,3.637938023,3.421424627
001fatalityrate,0,2.020726681,0.741856694
1finekitty,0,7.980894089,8.355523109
