node,cluster,x,y
000stand,1,6.21031,-1.3545595
006Kike,0,0.58517295,5.762937
00mropinionated,1,5.6638255,-3.0535657
03203867pallsis,1,7.003509,-4.3783073
04arwr,3,-4.133128,-11.980811
05e9d20d8cd6400,0,-2.487437,4.215254
0612sally,0,-1.9399856,7.2536173
06Views,0,-0.8136084,6.122348
08c36997056344f,0,-1.3435129,6.2214975
0CT0BERSURPRISE,0,-0.5535932,7.419925
0Gf1lCKkKy0ucqy,1,10.866784,-2.5125089
0ilHand,1,5.5598245,-1.5751979
0noora8,1,10.596271,-2.4736853
0xdemosthenes,0,-1.7793753,5.114592
10100WBK,0,-1.5639408,5.1375284
1015_cookie,3,-4.477368,-10.588895
101theDR,0,-1.3586862,6.088411
1025JackFM,1,7.051852,-1.3491524
1073KC,1,6.947802,-1.4781272
10w4800,1,10.7036295,-2.3737094
1155f914a398437,1,5.9664636,-0.6324153
119SUA,0,-1.1635169,6.82485
11_chappi,1,11.071272,-2.4992626
123jcji,3,-4.0930552,-11.891955
123laughpath,5,-14.196073,-4.692111
123pass123,4,14.844108,10.294984
12thManNorth,0,-2.8902247,3.872743
1313lyoshikoy,8,-18.049963,0.94054496
1317Peaches,1,4.5698943,-2.7638187
137more,0,-0.07891075,5.020285
13999Whgp,1,10.743086,-1.4422661
143tess,0,-2.8295257,4.124393
152aqtnQIX2SeO4,2,-10.199121,11.075114
1607Independent,4,13.346105,14.021969
16PawsWY,0,-1.453352,3.4886632
1776Democracy,0,0.8911665,6.5849423
1776Goldie,1,4.386583,-2.7967784
17Adarsh,0,-2.642196,4.223022
17Nesaragesara,1,7.719547,-3.0023673
17XRacing1,1,6.8300686,-2.6082623
17frosted,1,6.9489493,-0.36533272
17su24,1,11.1437845,-2.3013747
17surprised,0,-1.3029357,6.3107905
18197122599,0,-1.8105,5.077994
1949_monty,2,-11.621399,4.4585605
1952_nene,0,-0.054816414,5.396081
1957Crusader,1,6.7643833,-0.81496716
1959Josie,0,-2.590219,6.629485
1963Researcher,6,4.9292245,-13.232958
1971_johny,1,7.159157,-4.7892456
19931694544247x,1,6.7847443,-0.51383924
1994Bruin,0,0.3205043,4.7263236
1998PEEP,0,-3.0885394,4.3371196
19Delta10,2,-11.644962,4.898479
19jlp57,1,4.6223745,-2.6149848
1AmericanGirl,2,-11.74888,2.9625163
1BUniverse,4,9.608811,15.880392
1Chance2020,0,-0.9061788,5.938008
1Horla,1,11.120008,-2.2020369
1LadyHawk12,0,0.1808623,3.5995893
1M_SAMMI,1,11.571377,-2.164711
1Mauricewood,0,-0.036954492,5.65225
1OfflineApp,1,7.2925053,-1.9979568
1StrangeTicket,1,6.2830167,-1.7352237
1Tenants,5,-14.240879,-4.6562057
1Truthkeeper,3,-4.178173,-12.027432
1UnderGod,1,6.825029,-2.6084895
1Wineo2,9,18.45265,0.2199689
1_BuckarooLisa,0,-2.3229618,3.2246256
1_OldGeezer1950,0,-1.3094224,5.3708615
1byatch,0,-1.0254486,5.585468
1cd9cbf0e5b24f8,0,-1.1322843,6.688273
1citizenpundit,1,4.947326,-3.9089482
1daysooner,7,-8.376781,17.482618
1diislife,0,0.09612796,4.534636
1dil__,1,10.664041,-2.3576057
1dilemazibuko,1,10.908629,-1.9276831
1golfingdoc,0,-2.736969,4.4214005
1hax_,1,11.113034,-2.4791021
1iwilkinson,2,-11.7029705,4.549169
1julie1000,0,-2.8837886,5.4733214
1locozoo,0,-0.9866308,5.5602493
1lowbattery,1,6.946555,-0.5003181
1ofakndLizzy,0,-0.104077995,4.745841
1point15,1,3.7737186,-1.6575079
1sassysnowflake,1,7.12929,-4.7577667
1stCasanovaFly,0,-1.4055417,5.7741795
1stacyphillips,0,0.345347,5.7871933
1tutree,5,-7.6596694,-8.306595
1zzyzyx1,6,2.0842266,-16.987213
2000rafa20,1,10.555488,-2.3951554
2007Julie,0,-1.7234981,5.732211
2008HDUltra,0,-0.29062426,5.87667
2011teacher,0,-2.9066029,5.3886237
2018Avalanche,0,-0.53759235,4.475922
2018Mss,0,-0.2514299,4.55995
2020Democratic,0,-2.1631436,4.307244
2020Kovid,0,-1.1145227,4.2032876
2020Smiles,1,5.530864,-3.3772218
2020_VoteBlue,0,0.6814713,5.65804
2020_adelin,0,-2.441415,4.6193376
2020_democrats,0,-2.8674772,6.682368
2020hazeliz,0,-2.1128643,5.2667813
2045Gits,1,4.9891105,-1.940545
20PearlGirl57,0,0.055581417,3.4669924
20_agoldman,1,7.3432474,-2.0439844
212elieli212,0,-0.57763916,5.1174955
21_7_b,0,-1.4391506,4.177513
21kev0,1,10.438837,-2.5091896
21nimat,0,-2.4196105,4.5791774
221961,7,-1.786295,17.863976
22Ponczos,2,-10.184457,11.060842
2354_may,1,4.429557,-2.7539663
247firecracker,2,-10.192648,11.068444
24Broncos7,1,7.034423,-3.6130538
24INCHROGER,0,0.3778606,5.6645794
24ibelieve,0,-1.7242427,5.613613
24nano,0,-2.6569967,4.9115586
254Motivation,1,11.37121,-2.311608
25thAmendmentN1,4,9.723936,15.977087
262MEBrown,0,-0.81702054,6.298592
26aball,6,7.816826,-14.102989
2861Jj,1,5.3190084,-0.95801127
