node,cluster,x,y
000stand,1,0.58418155,10.976583
00mropinionated,0,17.293419,1.5478146
02Rrfj,1,-6.2182865,-2.1163967
04phuxache,1,-2.4314063,11.293998
0608Zdd,0,19.828636,7.998387
08_7d,1,-5.0289297,-0.71227044
0ilHand,1,6.9724045,-14.993834
0x6e6473,0,14.627838,4.3324857
100raubhG,0,5.3961515,7.122314
101Biography,1,5.5209975,-6.381442
10Africa,1,3.093257,2.3963048
10Fornite,1,4.3629475,3.845526
10NewsFirstMelb,1,-6.3821454,-0.83473486
11pistache,0,13.215286,1.084378
12lupilla,1,-5.5939646,-0.8949899
1313lyoshikoy,0,11.384498,0.06344457
13__will,0,12.082179,12.776945
14daystochange,0,13.582842,4.598275
1500Killed16Nvm,0,4.6692104,3.3781192
152aqtnQIX2SeO4,1,-5.4370103,-0.8097813
1800healthcom,1,3.8532803,4.2986803
187Strassenban2,1,3.833198,-5.9920626
1957_Tintin_,0,14.724664,5.4100904
1967Anil,0,4.565359,4.6522884
19_zaz,1,-5.4694643,-1.2826767
1AmericanGirl,0,14.365993,-0.13439275
1Corvid,1,-5.960414,-1.1692212
1Esperluette,1,-5.3920927,-1.8940036
1Firstfruit,1,-6.3043804,-1.0853498
1Vortia_,0,11.659707,12.488713
1Wineo2,1,-9.665644,8.510232
1asmaab,1,-5.944351,-1.4227686
1blantdaddy,1,5.5989437,-6.675939
1daysooner,1,-5.7021194,-0.6231424
1f8PVxouToaU0R9,0,12.047114,-6.6726494
1finekitty,1,2.7702074,4.615349
1iwilkinson,0,13.843572,4.59931
1loriking,0,13.320272,-7.1478047
1point15,0,13.435333,-7.2439322
1sabel0rtega,1,-13.968841,-5.9581556
1stacyphillips,0,22.306631,7.461755
1taiwantalk,0,19.783342,7.962046
1talianG1rly,0,22.272669,7.4323483
1tutree,0,14.393004,17.178679
2011teacher,0,13.311746,-7.2492495
2017Veritas,0,12.993222,1.0566726
2020Pathology,1,-6.7756443,-1.6956598
2020Smiles,1,5.6605153,-6.7838683
2020pgroup,1,3.1210887,2.3633595
2045Gits,0,4.584027,4.64736
20PG20,0,14.745577,3.2095692
211Teacher,1,-13.071349,1.473518
212elieli212,0,11.907291,-6.083632
221961,1,-4.8699656,-1.6870797
22Ponczos,1,-6.0274167,-0.94480175
23MediaAudits,0,14.311363,4.712222
23UnderUnknow,0,12.064737,-18.470215
23idiocracy,0,17.176794,-5.3266134
247NNU,0,14.9666815,4.4740977
247firecracker,1,-5.1881566,-0.92145103
24Broncos7,0,14.79207,4.693572
24_rapid,0,13.736388,4.7142467
24horasqroo,1,0.67146045,10.899861
2536luis,0,13.850959,3.9950333
2668,1,3.3696604,3.6828403
26aball,0,14.19738,5.29808
27Cowboys27,1,2.6672359,2.7317705
27reasonstorock,0,13.596767,4.619219
2909139Koc,1,-6.1275496,-2.0372813
2Ayken,0,14.705356,0.620852
2alphabet6,0,11.099811,-4.5794063
2behonets,1,4.574804,-2.8156233
2dogknight,1,2.80406,4.5848002
2facedgod,0,5.4863853,7.4119706
2frodxus,0,12.037995,-18.455791
2haveandhavenot,0,16.782936,-5.8561935
2stephenvincent,1,0.26112774,11.017814
2to3days,0,14.105269,5.45393
2xmcs,1,-4.6845117,-2.2888317
305Pirate,1,-4.679373,-1.8551006
30daymap_tweets,1,-5.9018893,-2.6912022
30seconds,0,13.237767,-6.8526793
360DxNews,1,-3.2595387,-4.208405
365SportsKE,1,3.2434642,2.03513
3866james,0,22.235699,7.4048357
3Emedico,0,13.875643,0.20090735
3fatcats,0,9.271227,-1.316022
3pupmomma,1,-4.7008777,-1.5845714
400moreyears,1,-3.8229983,-1.7778449
42Sz40,0,12.071214,-6.604753
45HarisonHarold,1,0.51015574,10.926287
45xiatai,1,-5.773211,-2.0206356
47thPennVols,1,3.0057917,3.9317238
47whitebuffalo,0,14.470502,0.04372156
49_bluey,1,0.30833054,11.139445
4DARBDA,1,-6.302465,-1.9743278
4EverSNP,0,14.455516,17.242836
4Mccollum,0,25.822737,-1.989003
4Tchat,0,11.411037,0.19541606
4ThievesVinegar,1,0.01729885,10.782305
4WellnessToday,0,17.373571,1.5356909
4_HumanRights_,0,14.304753,4.766831
4ahealthyhabit,1,-2.431168,11.294238
4bnewsworld,0,16.85639,-5.8826914
4everaPatriot76,1,-8.125535,-9.596928
4gvn2,0,22.230751,7.3951197
4lifestan,1,-4.9937296,-1.840857
4linblue1,1,3.5142477,3.1692243
4tybin,1,-6.0637403,-2.245294
514darkcholate,1,1.7976811,2.9433916
515mm,1,-5.8203692,-1.3706414
