node,cluster,x,y
0608Zdd,0,1.918457,-9.649817
0ilHand,0,4.1912947,-7.3613214
101Biography,0,3.3127117,-8.69868
10Fornite,0,1.9268717,-10.096686
10NewsFirstMelb,0,4.30248,-24.405449
11pistache,2,-34.364513,57.746246
1313lyoshikoy,0,19.996117,-8.766388
1AmericanGirl,1,-6.8696637,28.012253
1daysooner,0,5.494017,-23.578554
1f8PVxouToaU0R9,2,-35.759514,57.073
1loriking,2,-34.697285,56.05619
1point15,2,-35.19606,56.40325
1taiwantalk,0,4.5686064,-23.172722
2011teacher,2,-35.363472,57.39453
2020Smiles,0,3.3369203,-8.593966
211Teacher,0,6.314584,-22.354168
212elieli212,2,-35.691196,56.17869
26aball,2,-35.727783,56.084705
2alphabet6,1,-9.129699,26.956623
2frodxus,2,-26.135204,60.522255
2haveandhavenot,0,2.041827,-18.753958
30seconds,2,-8.451265,47.00661
365SportsKE,0,3.30109,-20.316517
3Emedico,1,-6.5916214,28.712133
3fatcats,1,3.3128433,18.991138
42Sz40,2,-35.90896,56.96813
47whitebuffalo,1,-6.4516144,28.597229
4Tchat,2,-36.18843,56.873253
4ahealthyhabit,1,3.6347318,19.454363
4everaPatriot76,0,2.1356497,-18.009687
51LouShelly65,0,3.4304965,-8.633866
5GenocIDe,1,-6.602421,28.736263
5wa,2,-33.145412,58.345215
647_416,1,-6.022605,28.26398
69News,2,-36.225388,56.339226
6bottoms,0,6.3034787,-22.365068
70Formula,2,-36.348873,57.738407
757747544,0,0.8873725,-10.378185
80kz1000e2,1,-9.966147,10.183409
81Hawks,0,5.1757865,-24.282328
8NEWS,2,-35.885433,56.037357
8NewsNow,1,3.754772,19.353197
8worldnews,2,-36.17634,56.167797
92ZId3wUSDVueke,0,5.728156,-23.97581
9JA_Imperialist,2,-34.545406,57.35844
9Joe9,0,4.5398674,-22.48652
AABGU,2,-8.40433,46.752758
AARP,2,-36.16512,56.2219
AAkinsella,1,2.9099016,19.292913
ABCHK12345,0,5.379837,-23.817503
ABR15743285,0,4.521663,-23.766796
ABSCBNNews,0,4.907436,-23.623684
ABatemanHouse,0,4.199648,-7.3377476
ADelgersaikhan,0,4.102128,-7.4616747
AE99892431,0,4.236256,-23.508385
AGG7,0,5.3649235,-23.539835
AImperical,0,1.8628842,-9.69275
AJBlackston,2,-35.00572,58.530224
AJCastorina,2,-35.445507,56.141552
ALBERTOSEVERIN7,0,-9.928884,-7.278429
ALPHANEWS75,0,-9.823132,-7.059779
AM900CHML,2,-35.586647,56.06187
AMDApaltc,0,4.2454147,-7.2951427
ANCALERTS,0,4.9076333,-23.954336
ANDigitalOK,1,-10.229618,10.286546
ANI,0,5.6478963,-23.403938
APAAACI1,1,-9.924257,10.092441
ASHAPAT53041764,1,-10.157619,10.195293
ASaidiani,2,-35.68345,56.105816
AWShepard2,1,-9.191879,26.858809
Aalto_Bio,0,5.661773,-23.79703
Aaron_Derfel,2,-35.65057,55.91524
AbangC2,0,1.875783,-10.096641
AbdulRazaq_PH,0,5.6043878,-24.429226
AbdullahhZahid,0,4.7803516,-23.628939
AbdulsatarBoch1,0,4.9971557,-24.090841
AbhiroopRishi,0,1.1229922,-10.240565
AbkhaziaP,2,-8.556988,46.53746
AboutTrumpBiden,2,-33.162884,58.325977
AccroglianoL,2,-35.400124,57.18483
AcctbleHealth,1,-6.1069226,28.339989
ActorDeborah,0,2.128786,-18.070974
AdavisWilliams,1,3.3420954,19.077906
AdhiamboRosie,0,3.277743,-20.29403
AdityaSharda18,1,3.517483,19.387993
Adm_deRuyter,2,-32.966618,57.761692
AdrianH23960172,0,1.4047371,-18.420343
AdvocateCal,0,4.9000616,-23.552624
Aeey00996468,0,5.4589515,-23.527538
Aethonaia,2,-36.27259,57.478123
AgnesNorman64,0,-9.713031,-6.680713
AhmadHazzim,1,-7.7446895,11.151034
Airdrop8181,2,-36.06713,56.170307
Aisyy1101,2,-34.113857,56.130882
Ajaygolmalgobi,2,-8.521097,46.902664
AkilaSR,1,9.630875,5.5783577
Akshyat_013,2,-35.62351,55.920036
AlArabiya_Eng,2,-34.92705,58.413017
AlanTonelson,1,-6.1464543,28.35791
AldoLema_uy,2,-35.857967,55.96039
AlexGametudi,2,-34.58335,55.91745
AlexInAir,0,5.638104,-23.738846
AlexWitzleben,2,-36.14244,56.42281
AlexZ80365313,0,4.2484965,-7.2712955
Alex_Avalon777,1,-6.609644,28.84367
AliAdair22,0,6.3009987,-22.366734
Alice74904595,2,-36.339535,57.56861
AliceLipowicz,2,-8.6118,46.546677
AlisoNJMutler,0,5.1748176,-23.522057
All435Reps,0,5.7865515,-23.951687
AllieC9,1,-6.9954085,11.688653
Alpha_Bronze,2,-35.869385,55.93673
Alsakal77,0,5.627457,-23.602682
AlturaStudies,0,-3.123939,-6.8337326
AlwaysYellow4,1,-8.467971,18.974117
AlwaystrumpOrg,0,-9.982962,-7.4364223
AmandaFBelfast,0,5.3645144,-23.144547
AmandaH44537365,1,-6.979506,11.707685
AmberNightinga3,0,5.593425,-24.083199
AmericaNov3,0,5.3815675,-24.199717
AmericanLatina5,1,-10.141315,10.304069
AmirisBrown,2,-36.247066,56.383465
AmyV333,0,5.6990194,-23.558199
An_UnCivil_War,0,19.90143,-8.86447
AnalystHealth,2,-35.800804,56.044052
AndreaAdlerPhD,2,-35.861813,56.10607
AndreaAndreamax,0,1.3500911,-18.390558
AndrewJMullen,1,3.2313116,19.16217
Andrews29John,1,3.0170274,19.54757
AndyBailen,0,2.020934,-18.791927
Andym6769,2,-35.898605,56.073627
Ang_Ray_Gallery,0,1.6927314,-18.243484
AngelVillaHdz,1,-6.9687676,11.690674
Angela51144939,0,4.812454,-23.81911
Angie_RejoinEU,0,4.9679356,-23.735418
AnimatorsPal,1,-8.540353,27.494226
AnnRiordan6,0,19.923471,-8.842864
AnnwynRI,1,-7.737104,10.963666
AnsisEgle,0,5.500922,-23.603947
AntarianRani,0,5.583647,-23.564283
ApiWenuwen,2,-34.823483,56.14275
ApocNowPodcast,2,-35.954803,56.070988
Arbutus369,0,-3.0631049,-6.8780584
ArchiPrintUK,2,-33.013905,57.722843
AriefWi48645487,2,-8.259404,46.574394
AriffShihab,0,5.6506147,-23.5421
ArindamTm,2,-34.610527,56.281143
Arjun_fullBag,1,-10.018674,10.046662
ArleneKaplan,0,1.6864185,-19.041533
ArtMeeks,1,-8.426167,19.016487
Art_by_Talitha,1,-8.436972,19.005148
Artificialbra1n,2,-36.409645,57.37644
ArumughamVinu,0,5.027599,-21.040003
AsadLonePhD,2,-8.598976,46.83611
AshaBhavik,1,-10.191421,10.139364
AshleyResistNC,0,3.425537,-8.673086
AsianetNewsEN,0,5.492262,-23.978563
AskMssDidi,2,-35.949085,56.067463
AtifAkr43652524,1,-8.827219,27.240107
AtomicPunk57,2,-35.799095,56.04968
AudreyJarvis,1,-6.983154,11.714731
AuggieAnthuvan,0,4.2254386,-7.3106484
AusKoalaXPress,1,-8.924023,27.16606
AusPosers,1,-6.9709463,28.314474
AwaazToday,1,-6.6783476,28.893839
Ay5e1,2,-35.75846,56.127445
AyrshireBog,0,4.960067,-23.834797
AyyoAyaz,1,9.634783,5.5980363
B1G_BAZ,1,-9.957988,10.418123
B3throx,0,5.1022334,-23.82461
BARTVARGAS,2,-8.245333,46.756718
BBoullion,0,5.697769,-23.98975
BCMDeptMedicine,0,4.283994,-7.466761
BCNewsWire,2,-35.942524,55.995857
BCWaterNews,2,-34.391426,56.42286
BGHeaven,2,-36.10918,56.039165
BIGDOGLOVER2,1,-8.467139,18.974934
BIRD_EYEVIEW,1,-9.954273,10.306767
BJ01123,2,-8.6931,46.548462
BLPP_Leader,1,-6.1564007,28.481247
BMA_NI,2,-36.11573,56.016937
BMo2xl,2,-36.26303,56.670975
BMore_Healthy,0,2.1332798,-18.035809
BNN_Breaking,0,-10.152214,-7.3524246
BNaeece,0,5.578833,-23.892471
BRASIL_ACABOU,0,1.9804924,-9.616879
BRAVENEWEUROPE1,1,-5.989352,28.345802
BRMac6,0,19.917244,-8.852915
BSDhruw2,2,-35.980865,56.042473
BT_IND,2,-36.003944,56.014275
BT_India,2,-36.062126,56.012264
