node,cluster,x,y
000stand,3,13.388958,2.4654088
006Kike,0,0.63596463,2.4003181
00mropinionated,0,9.41374,3.6225157
03203867pallsis,2,-3.8455982,-1.4529899
04arwr,2,-3.5756025,-10.463438
05e9d20d8cd6400,0,1.5788958,2.315209
0612sally,0,-0.05518491,3.9215717
06Views,0,0.14026912,4.3206387
08c36997056344f,0,1.8925782,2.001089
0CT0BERSURPRISE,0,4.5844812,4.089683
0Gf1lCKkKy0ucqy,1,-7.4295692,11.085531
0ilHand,0,10.411545,4.7740335
0noora8,1,-6.6789713,11.209337
0xdemosthenes,0,1.0990144,4.000033
10100WBK,0,2.133011,5.309439
1015_cookie,2,-3.4969563,-9.479232
101theDR,0,0.38453087,2.768542
1025JackFM,3,11.1449175,4.39626
1073KC,3,11.131625,4.3633056
10w4800,1,-6.331062,11.144015
1155f914a398437,1,-3.7354498,6.433243
119SUA,0,2.7502658,5.393323
11_chappi,1,-7.1806197,10.4744425
123jcji,2,-3.594767,-10.710222
123laughpath,3,14.507418,12.59366
123pass123,3,19.847218,3.466857
12thManNorth,0,3.2066946,2.1145265
1313lyoshikoy,4,6.982442,-16.629765
1317Peaches,3,12.115843,3.6809492
137more,0,1.3321495,3.1180234
13999Whgp,1,-6.762116,10.12538
143tess,0,2.6932456,4.1023693
152aqtnQIX2SeO4,4,4.0897303,-10.420534
1607Independent,4,7.1169367,-11.282756
16PawsWY,0,1.4033356,1.9413314
1776Democracy,0,2.6582074,2.6894627
1776Goldie,3,12.175963,3.6499028
17Adarsh,0,1.9597795,4.2757754
17Nesaragesara,0,2.1690178,0.64672154
17XRacing1,0,9.608659,5.7293034
17frosted,3,12.3610525,5.1748595
17su24,1,-6.8720617,9.981849
17surprised,0,1.550663,3.4282458
18197122599,0,4.4373956,3.9737964
1949_monty,2,-9.267723,-5.300316
1952_nene,0,1.0099449,2.0425236
1957Crusader,0,10.824356,4.1848397
1959Josie,0,2.8340325,3.7427905
1963Researcher,3,18.23351,12.025004
1971_johny,2,-3.8342962,-1.8181144
19931694544247x,3,12.571166,5.30922
1994Bruin,0,1.2952684,3.9221573
1998PEEP,0,2.0817006,1.7386734
19Delta10,2,-9.653546,-5.1752706
19jlp57,3,12.184001,3.65052
1AmericanGirl,5,11.071918,9.968524
1BUniverse,6,-15.432647,2.0537584
1Chance2020,0,1.9997728,4.0367265
1Horla,1,-7.2170258,10.9614
1LadyHawk12,0,2.1828983,2.6589243
1M_SAMMI,1,-6.926045,10.03565
1Mauricewood,0,2.1483445,3.817125
1OfflineApp,3,12.371788,2.3970253
1StrangeTicket,3,11.422607,5.931113
1Tenants,3,14.545018,12.612428
1Truthkeeper,2,-3.3958125,-10.961963
1UnderGod,0,9.607955,5.706718
1Wineo2,5,10.376643,11.197876
1_BuckarooLisa,0,2.93141,2.4125488
1_OldGeezer1950,0,4.396451,4.3798537
1byatch,0,-0.16887228,3.6764908
1cd9cbf0e5b24f8,0,2.813975,3.306818
1citizenpundit,0,11.083608,3.3322918
1daysooner,3,21.123453,7.7155023
1diislife,0,1.9800458,3.9647086
1dil__,1,-6.8743205,10.807488
1dilemazibuko,1,-6.53476,10.011009
1golfingdoc,0,2.199061,5.942877
1hax_,1,-6.858361,10.095043
1iwilkinson,2,-9.603132,-5.6010733
1julie1000,0,4.892923,3.4818788
1locozoo,0,3.5494773,4.506105
1lowbattery,3,12.448346,5.2491817
1ofakndLizzy,0,1.4490095,3.3232453
1point15,0,10.541205,2.9455013
1sassysnowflake,2,-3.8335745,-1.832428
1stCasanovaFly,0,3.512664,2.0802848
1stacyphillips,0,2.747379,4.3575954
1tutree,5,5.2541695,14.862683
1zzyzyx1,0,0.5763137,4.8439717
2000rafa20,1,-7.126974,10.885176
2007Julie,0,3.633206,3.7074447
2008HDUltra,0,-0.33540723,3.224098
2011teacher,0,1.0177734,4.354173
2018Avalanche,0,1.3776497,3.563933
2018Mss,0,1.9694803,3.8266873
2020Democratic,0,2.399336,2.740299
2020Kovid,0,1.200233,5.14436
2020Smiles,0,9.527062,3.5895317
2020_VoteBlue,0,2.8152049,2.0733504
2020_adelin,0,3.1869705,3.386103
2020_democrats,0,3.4225185,3.552723
2020hazeliz,0,2.4935691,3.4896364
2045Gits,0,5.8147807,3.812697
20PearlGirl57,0,1.5338923,5.982361
20_agoldman,3,12.32216,2.4617534
212elieli212,0,1.7643641,1.4887186
